episode,total_steps,reward,rolling_reward_100,epsilon,loss
0,58,3.0,3.0,1.0,nan
1,100,1.0,2.0,0.999652,nan
2,135,0.0,1.3333333333333333,0.9994,nan
3,169,0.0,1.0,0.99919,nan
4,252,5.0,1.8,0.998986,nan
5,296,1.0,1.6666666666666667,0.998488,nan
6,349,2.0,1.7142857142857142,0.998224,nan
7,415,4.0,2.0,0.997906,nan
8,483,3.0,2.111111111111111,0.99751,nan
9,524,1.0,2.0,0.997102,nan
10,574,2.0,2.0,0.996856,nan
11,619,1.0,1.9166666666666667,0.996556,nan
12,659,1.0,1.8461538461538463,0.996286,nan
13,711,2.0,1.8571428571428572,0.996046,nan
14,762,2.0,1.8666666666666667,0.995734,nan
15,795,0.0,1.75,0.995428,nan
16,853,3.0,1.8235294117647058,0.99523,nan
17,902,2.0,1.8333333333333333,0.994882,nan
18,936,0.0,1.736842105263158,0.994588,nan
19,975,1.0,1.7,0.994384,nan
20,1026,2.0,1.7142857142857142,0.99415,nan
21,1072,1.0,1.6818181818181819,0.993844,nan
22,1135,3.0,1.7391304347826086,0.993568,nan
23,1170,0.0,1.6666666666666667,0.99319,nan
24,1222,2.0,1.68,0.99298,nan
25,1268,1.0,1.6538461538461537,0.992668,nan
26,1309,1.0,1.6296296296296295,0.992392,nan
27,1351,1.0,1.6071428571428572,0.992146,nan
28,1404,2.0,1.6206896551724137,0.991894,nan
29,1459,3.0,1.6666666666666667,0.991576,nan
30,1518,2.0,1.6774193548387097,0.991246,nan
31,1568,2.0,1.6875,0.990892,nan
32,1609,1.0,1.6666666666666667,0.990592,nan
33,1670,3.0,1.7058823529411764,0.990346,nan
34,1765,6.0,1.8285714285714285,0.98998,nan
35,1815,2.0,1.8333333333333333,0.98941,nan
36,1867,2.0,1.837837837837838,0.98911,nan
37,1908,1.0,1.8157894736842106,0.988798,nan
38,1961,2.0,1.8205128205128205,0.988552,nan
39,2003,1.0,1.8,0.988234,nan
40,2074,4.0,1.853658536585366,0.987982,nan
41,2123,2.0,1.8571428571428572,0.987556,nan
42,2165,1.0,1.8372093023255813,0.987262,nan
43,2218,2.0,1.8409090909090908,0.98701,nan
44,2260,1.0,1.8222222222222222,0.986692,nan
45,2302,1.0,1.8043478260869565,0.98644,nan
46,2344,1.0,1.7872340425531914,0.986188,nan
47,2383,1.0,1.7708333333333333,0.985936,nan
48,2435,2.0,1.7755102040816326,0.985702,nan
49,2482,2.0,1.78,0.98539,nan
50,2535,2.0,1.7843137254901962,0.985108,nan
51,2588,2.0,1.7884615384615385,0.98479,nan
52,2637,2.0,1.7924528301886793,0.984472,nan
53,2679,1.0,1.7777777777777777,0.984178,nan
54,2735,2.0,1.7818181818181817,0.983926,nan
55,2786,2.0,1.7857142857142858,0.98359,nan
56,2827,1.0,1.7719298245614035,0.983284,nan
57,2860,0.0,1.7413793103448276,0.983038,nan
58,2912,2.0,1.7457627118644068,0.98284,nan
59,2947,0.0,1.7166666666666666,0.982528,nan
60,2991,1.0,1.7049180327868851,0.982318,nan
61,3025,0.0,1.6774193548387097,0.982054,nan
62,3084,3.0,1.6984126984126984,0.98185,nan
63,3149,4.0,1.734375,0.981496,nan
64,3198,2.0,1.7384615384615385,0.981106,nan
65,3280,5.0,1.7878787878787878,0.980812,nan
66,3329,2.0,1.791044776119403,0.98032,nan
67,3364,0.0,1.7647058823529411,0.980026,nan
68,3410,1.0,1.7536231884057971,0.979816,nan
69,3468,3.0,1.7714285714285714,0.97954,nan
70,3503,0.0,1.7464788732394365,0.979192,nan
71,3550,2.0,1.75,0.978982,nan
72,3603,2.0,1.7534246575342465,0.9787,nan
73,3649,1.0,1.7432432432432432,0.978382,nan
74,3700,2.0,1.7466666666666666,0.978106,nan
75,3734,0.0,1.7236842105263157,0.9778,nan
76,3793,3.0,1.7402597402597402,0.977596,nan
77,3858,3.0,1.7564102564102564,0.9772419999999999,nan
78,3905,1.0,1.7468354430379747,0.976852,nan
79,3977,4.0,1.775,0.97657,nan
80,4022,1.0,1.7654320987654322,0.976138,nan
81,4079,2.0,1.7682926829268293,0.975868,nan
82,4120,1.0,1.7590361445783131,0.975526,nan
83,4167,2.0,1.7619047619047619,0.97528,nan
84,4208,1.0,1.7529411764705882,0.974998,nan
85,4261,2.0,1.755813953488372,0.974752,nan
86,4309,2.0,1.7586206896551724,0.974434,nan
87,4367,3.0,1.7727272727272727,0.974146,nan
88,4411,1.0,1.7640449438202248,0.973798,nan
89,4445,0.0,1.7444444444444445,0.973534,nan
90,4496,2.0,1.7472527472527473,0.97333,nan
91,4545,2.0,1.75,0.973024,nan
92,4578,0.0,1.7311827956989247,0.97273,nan
93,4627,2.0,1.7340425531914894,0.972532,nan
94,4662,0.0,1.7157894736842105,0.972238,nan
95,4696,0.0,1.6979166666666667,0.972028,nan
96,4738,1.0,1.690721649484536,0.971824,nan
97,4797,3.0,1.7040816326530612,0.971572,nan
98,4849,2.0,1.707070707070707,0.971218,nan
99,4889,1.0,1.7,0.970906,nan
100,4970,5.0,1.72,0.970666,nan
101,5010,1.0,1.72,0.97018,nan
102,5057,2.0,1.74,0.96994,nan
103,5101,1.0,1.75,0.969658,nan
104,5153,2.0,1.72,0.969394,nan
105,5198,1.0,1.72,0.969082,nan
106,5241,1.0,1.71,0.968812,nan
107,5297,3.0,1.7,0.968554,nan
108,5363,4.0,1.71,0.968218,nan
109,5405,1.0,1.71,0.967822,nan
110,5447,1.0,1.7,0.96757,nan
111,5493,1.0,1.7,0.967318,nan
112,5535,1.0,1.7,0.967042,nan
113,5606,4.0,1.72,0.96679,nan
114,5654,2.0,1.72,0.966364,nan
115,5718,3.0,1.75,0.966076,nan
116,5753,0.0,1.72,0.965692,nan
117,5806,2.0,1.72,0.965482,nan
118,5855,2.0,1.74,0.965164,nan
119,5888,0.0,1.73,0.96487,nan
120,5923,0.0,1.71,0.964672,nan
121,5966,1.0,1.71,0.964462,nan
122,5999,0.0,1.68,0.964204,nan
123,6040,1.0,1.69,0.964006,nan
124,6079,1.0,1.68,0.96376,nan
125,6112,0.0,1.67,0.963526,nan
126,6167,3.0,1.69,0.963328,nan
127,6217,2.0,1.7,0.962998,nan
128,6270,2.0,1.7,0.962698,nan
129,6330,3.0,1.7,0.96238,nan
130,6362,0.0,1.68,0.96202,nan
131,6395,0.0,1.66,0.961828,nan
132,6429,0.0,1.65,0.96163,nan
133,6461,0.0,1.62,0.961426,nan
134,6512,2.0,1.58,0.961234,nan
135,6560,2.0,1.58,0.960928,nan
136,6650,6.0,1.62,0.96064,nan
137,6703,2.0,1.63,0.9601,nan
138,6744,1.0,1.62,0.959782,nan
139,6803,3.0,1.64,0.959536,nan
140,6852,2.0,1.62,0.959182,nan
141,6893,1.0,1.61,0.958888,nan
142,6951,3.0,1.63,0.958642,nan
143,7016,3.0,1.64,0.958294,nan
144,7087,4.0,1.67,0.957904,nan
145,7128,1.0,1.67,0.957478,nan
146,7160,0.0,1.66,0.957232,nan
147,7212,2.0,1.67,0.95704,nan
148,7278,3.0,1.68,0.956728,nan
149,7318,1.0,1.67,0.956332,nan
150,7374,3.0,1.68,0.9560919999999999,nan
151,7430,2.0,1.68,0.955756,nan
152,7482,2.0,1.68,0.95542,nan
153,7534,2.0,1.69,0.955108,nan
154,7575,1.0,1.68,0.954796,nan
155,7617,1.0,1.67,0.95455,nan
156,7686,4.0,1.7,0.954298,nan
157,7750,3.0,1.73,0.953884,nan
158,7790,1.0,1.72,0.9535,nan
159,7832,1.0,1.73,0.95326,nan
160,7874,1.0,1.73,0.953008,nan
161,7908,0.0,1.73,0.952756,nan
162,7992,5.0,1.75,0.952552,nan
163,8049,2.0,1.73,0.952048,nan
164,8104,3.0,1.74,0.9517059999999999,nan
165,8156,2.0,1.71,0.951376,nan
166,8197,1.0,1.7,0.951064,nan
167,8238,1.0,1.71,0.9508179999999999,nan
168,8290,2.0,1.72,0.950572,nan
169,8338,2.0,1.71,0.95026,nan
170,8393,2.0,1.73,0.949972,nan
171,8435,1.0,1.72,0.949642,nan
172,8468,0.0,1.7,0.94939,nan
173,8525,2.0,1.71,0.949192,nan
174,8583,3.0,1.72,0.94885,nan
175,8635,2.0,1.74,0.948502,nan
176,8687,2.0,1.73,0.94819,nan
177,8732,1.0,1.71,0.947878,nan
178,8781,2.0,1.72,0.947608,nan
179,8840,3.0,1.71,0.947314,nan
180,8881,1.0,1.71,0.94696,nan
181,8928,2.0,1.71,0.946714,nan
182,8980,2.0,1.72,0.9464319999999999,nan
183,9015,0.0,1.7,0.94612,nan
184,9106,6.0,1.75,0.94591,nan
185,9166,3.0,1.76,0.945364,nan
186,9213,2.0,1.76,0.945004,nan
187,9265,2.0,1.75,0.944722,nan
188,9299,0.0,1.74,0.94441,nan
189,9356,2.0,1.76,0.944206,nan
190,9450,6.0,1.8,0.943864,nan
191,9491,1.0,1.79,0.9433,nan
192,9533,1.0,1.8,0.943054,nan
193,9590,3.0,1.81,0.942802,nan
194,9630,1.0,1.82,0.94246,nan
195,9675,1.0,1.83,0.9422200000000001,nan
196,9709,0.0,1.82,0.94195,nan
197,9761,2.0,1.81,0.941746,nan
198,9823,3.0,1.82,0.941434,nan
199,9893,4.0,1.85,0.941062,nan
200,9950,2.0,1.82,0.940642,nan
201,10021,8.0,1.89,0.9403,nan
202,10062,1.0,1.88,0.939874,nan
203,10103,1.0,1.88,0.939628,nan
204,10150,2.0,1.88,0.939382,nan
205,10205,3.0,1.9,0.9391,nan
206,10264,3.0,1.92,0.93877,nan
207,10316,2.0,1.91,0.938416,nan
208,10360,1.0,1.88,0.938104,nan
209,10395,0.0,1.87,0.93784,nan
210,10460,3.0,1.89,0.93763,nan
211,10505,1.0,1.89,0.93724,nan
212,10556,2.0,1.9,0.93697,nan
213,10606,2.0,1.88,0.9366639999999999,nan
214,10662,2.0,1.88,0.936364,nan
215,10694,0.0,1.85,0.936028,nan
216,10727,0.0,1.85,0.935836,nan
217,10769,1.0,1.84,0.935638,nan
218,10803,0.0,1.82,0.935386,nan
219,10861,3.0,1.85,0.935182,nan
220,10896,0.0,1.85,0.9348339999999999,nan
221,10936,1.0,1.85,0.934624,nan
222,11015,5.0,1.9,0.934384,nan
223,11055,1.0,1.9,0.93391,nan
224,11100,1.0,1.9,0.93367,nan
225,11140,1.0,1.91,0.9334,nan
226,11195,2.0,1.9,0.93316,nan
227,11249,2.0,1.9,0.93283,nan
228,11281,0.0,1.88,0.9325060000000001,nan
229,11315,0.0,1.85,0.932314,nan
230,11383,4.0,1.89,0.93211,nan
231,11425,1.0,1.9,0.931702,nan
232,11468,1.0,1.91,0.93145,nan
233,11523,2.0,1.93,0.931192,nan
234,11563,1.0,1.92,0.930862,nan
235,11595,0.0,1.9,0.9306220000000001,nan
236,11651,2.0,1.86,0.93043,nan
237,11693,1.0,1.85,0.930094,nan
238,11737,1.0,1.85,0.9298420000000001,nan
239,11782,1.0,1.83,0.929578,nan
240,11849,4.0,1.85,0.929308,nan
241,11897,2.0,1.86,0.928906,nan
242,11980,6.0,1.89,0.9286179999999999,nan
243,12032,2.0,1.88,0.9281200000000001,nan
244,12076,1.0,1.85,0.927808,nan
245,12122,1.0,1.85,0.927544,nan
246,12169,2.0,1.87,0.927268,nan
247,12221,2.0,1.87,0.926986,nan
248,12274,2.0,1.86,0.926674,nan
249,12322,2.0,1.87,0.926356,nan
250,12356,0.0,1.84,0.926068,nan
251,12390,0.0,1.82,0.925864,nan
252,12430,1.0,1.81,0.92566,nan
253,12471,1.0,1.8,0.92542,nan
254,12526,3.0,1.82,0.9251739999999999,nan
255,12620,6.0,1.87,0.924844,nan
256,12668,2.0,1.85,0.92428,nan
257,12722,2.0,1.84,0.923992,nan
258,12755,0.0,1.83,0.923668,nan
259,12825,4.0,1.86,0.92347,nan
