11-26 21-07-06: Training starting...
11-26 21-07-09: New best reward 1.0 at episode 0, saving model...
11-26 21-07-09: New best reward 3.0 at episode 1, saving model...
11-26 21-07-10: New best reward 5.0 at episode 8, saving model...
11-26 21-07-14: New best reward 6.0 at episode 29, saving model...
11-26 21-08-42: New best reward 11.0 at episode 529, saving model...
11-26 21-22-35: New best reward 12.0 at episode 3341, saving model...
11-26 21-26-45: New best reward 13.0 at episode 4082, saving model...
11-26 21-29-37: New best reward 16.0 at episode 4574, saving model...
11-26 21-33-55: New best reward 19.0 at episode 5249, saving model...
11-26 21-43-18: New best reward 27.0 at episode 6531, saving model...
11-26 21-52-44: New best reward 29.0 at episode 7601, saving model...
11-26 21-58-03: New best reward 37.0 at episode 8103, saving model...
11-26 22-05-07: New best reward 38.0 at episode 8663, saving model...
11-26 22-09-37: New best reward 43.0 at episode 8971, saving model...
11-26 22-15-58: New best reward 48.0 at episode 9347, saving model...
11-26 22-16-00: New best reward 51.0 at episode 9348, saving model...
11-26 22-19-04: New best reward 54.0 at episode 9489, saving model...
11-26 22-19-37: New best reward 61.0 at episode 9512, saving model...
11-26 22-19-48: New best reward 65.0 at episode 9520, saving model...
11-26 22-26-37: New best reward 80.0 at episode 9805, saving model...
11-26 23-00-52: New best reward 90.0 at episode 11116, saving model...
11-26 23-41-30: New best reward 101.0 at episode 12689, saving model...
11-27 00-10-55: New best reward 111.0 at episode 13777, saving model...
11-27 00-16-25: New best reward 206.0 at episode 14007, saving model...
11-27 00-40-25: New best reward 236.0 at episode 14958, saving model...
11-27 00-59-08: New best reward 248.0 at episode 15664, saving model...
11-27 01-31-24: New best reward 318.0 at episode 16908, saving model...
11-27 01-35-58: New best reward 350.0 at episode 17091, saving model...
11-27 03-48-12: New best reward 352.0 at episode 21510, saving model...
11-27 04-02-00: New best reward 359.0 at episode 21962, saving model...
11-27 05-28-29: New best reward 366.0 at episode 24911, saving model...
11-27 05-43-45: New best reward 368.0 at episode 25423, saving model...
11-27 07-25-13: New best reward 383.0 at episode 28561, saving model...
11-27 07-29-53: New best reward 391.0 at episode 28703, saving model...
