episode,total_steps,reward,rolling_reward_100,epsilon,loss
0,24,0.0,0.0,1,nan
1,48,0.0,0.0,1,nan
2,72,0.0,0.0,1,nan
3,96,0.0,0.0,1,nan
4,120,0.0,0.0,1,nan
5,144,0.0,0.0,1,nan
6,168,0.0,0.0,0.9971488,0.0024439655244350433
7,192,0.0,0.0,0.9966736,0.00021698481577914208
8,216,0.0,0.0,0.9961984,0.006330655422061682
9,240,0.0,0.0,0.9957232,0.005027147475630045
10,264,0.0,0.0,0.995248,0.002571772551164031
11,288,0.0,0.0,0.9947728,0.001328057493083179
12,387,2.0,0.15384615384615385,0.9942976,0.00044445195817388594
13,411,0.0,0.14285714285714285,0.9923374,0.011422001756727695
14,435,0.0,0.13333333333333333,0.9918622,0.007079834118485451
15,459,0.0,0.125,0.991387,0.006975974887609482
16,530,1.0,0.17647058823529413,0.9909118,0.00010931997530860826
17,554,0.0,0.16666666666666666,0.989506,0.00011883212573593482
18,578,0.0,0.15789473684210525,0.9890308,0.0038732150569558144
19,602,0.0,0.15,0.9885556,0.00010880216723307967
20,626,0.0,0.14285714285714285,0.9880804,0.003962420858442783
21,650,0.0,0.13636363636363635,0.9876052,0.003807065775617957
22,674,0.0,0.13043478260869565,0.98713,4.531384911388159e-05
23,698,0.0,0.125,0.9866548,4.018922845716588e-05
24,722,0.0,0.12,0.9861796,0.003870943561196327
25,746,0.0,0.11538461538461539,0.9857044,0.0060831476002931595
26,770,0.0,0.1111111111111111,0.9852292,0.0017290968680754304
27,794,0.0,0.10714285714285714,0.984754,0.0015337514923885465
28,818,0.0,0.10344827586206896,0.9842788,0.0005810332950204611
29,842,0.0,0.1,0.9838036,0.000710204360075295
30,941,2.0,0.16129032258064516,0.9833284,0.0007534289616160095
31,965,0.0,0.15625,0.9813682,0.004300644155591726
32,989,0.0,0.15151515151515152,0.980893,0.007812726311385632
33,1013,0.0,0.14705882352941177,0.9804178,0.001337476191110909
34,1086,1.0,0.17142857142857143,0.9799426,0.005601110402494669
35,1110,0.0,0.16666666666666666,0.9784972,5.6276410759892315e-05
36,1134,0.0,0.16216216216216217,0.978022,5.201687235967256e-05
37,1158,0.0,0.15789473684210525,0.9775468,3.504809137666598e-05
38,1182,0.0,0.15384615384615385,0.9770716,0.007875707000494003
39,1206,0.0,0.15,0.9765964,2.4708875571377575e-05
40,1230,0.0,0.14634146341463414,0.9761212,0.007821984589099884
41,1254,0.0,0.14285714285714285,0.975646,0.0038971910253167152
